﻿name,latitude,longitude,modelURL
本興寺発掘跡地,35.90573277,136.1667332,https://www.city.echizen.lg.jp/office/030/021/open-data-echizen_d/fil/00101_kokufuhakkutsu.glb
越前市役所芝生広場,35.90334555,136.1692524,https://www.city.echizen.lg.jp/office/030/021/open-data-echizen_d/fil/00101_kokufuhakkutsu.glb
鯖江市役所駐車場,35.95630518,136.1842505,https://www.city.echizen.lg.jp/office/030/021/open-data-echizen_d/fil/00101_kokufuhakkutsu.glb
テスト,0,0,https://www.city.echizen.lg.jp/office/030/021/open-data-echizen_d/fil/00101_kokufuhakkutsu.glb
